Student,LPIPS,SSIM
112590036.png,0.2845537066459656,0.70883207770999
112590060.png,0.30757027864456177,0.6725525077360274
112590041.png,0.324873685836792,0.6954814026840084
112590003.png,0.3338613212108612,0.6763151103913719
112590007.png,0.34430351853370667,0.6485930001579463
112590038.png,0.3490777909755707,0.6872504939953017
112590059.png,0.35119253396987915,0.701393441584358
112590017.png,0.3533379137516022,0.6651094325290067
112590044.png,0.3544507622718811,0.5910004233547008
112590056.png,0.36027243733406067,0.6944341605946582
109810011.png,0.36216312646865845,0.6422716887576836
112590029.png,0.3779131770133972,0.6704867817300757
112590013.png,0.380543977022171,0.673586131474167
110590456.png,0.3998034596443176,0.5745975103302892
112590004.png,0.4010485112667084,0.6111528369516313
111332012.png,0.415260910987854,0.567985812286393
112590023.png,0.4156630337238312,0.6107676669739104
112590012.png,0.43016573786735535,0.6650229169780877
112590005.png,0.438258558511734,0.556709180750678
112590009.png,0.44243210554122925,0.5956665078713607
112590026.png,0.4426206350326538,0.522666089792351
112590014.png,0.44417914748191833,0.6050740105329205
112590035.png,0.4451388418674469,0.5251707344019336
112590020.png,0.4530235528945923,0.5242829465068605
112590021.png,0.4576292335987091,0.5070616967667338
112590022.png,0.4606684148311615,0.5444928587683121
110820009.png,0.46178528666496277,0.5308256670404095
112ab0053.png,0.46685072779655457,0.6137003001569877
112590057.png,0.47844457626342773,0.508101878765632
113378043.png,0.49064189195632935,0.5547449527793115
111820017.jpg,0.4911467134952545,0.5444584217884496
110590041.png,0.5024381279945374,0.5978610380574173
112590030.png,0.5062993764877319,0.5275299150426243
112590031.png,0.5123633742332458,0.410206662481508
112590052.png,0.5130627751350403,0.4313854992939246
112590051.png,0.515923798084259,0.41445118443377577
112590053.png,0.5319369435310364,0.38752878420928355
112590018.png,0.539920449256897,0.3972790118328641
112590024.png,0.54861980676651,0.4186644580707069
